startDate,siteID,regionName,SiteRef,siteDescription,flowDirection,trafficCount_x,siteRef,SH,siteType,geometry,date,week,month,year,holiday,trafficCount_y
2020-10-24 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,17519.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-24,Saturday,10,2020,False,79937.0
2020-10-24 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,14277.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-24,Saturday,10,2020,False,79937.0
2020-10-24 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,922.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-24,Saturday,10,2020,False,79937.0
2020-10-24 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,1438.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-24,Saturday,10,2020,False,79937.0
2020-10-24 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,441.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-24,Saturday,10,2020,False,79937.0
2020-10-24 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,1244.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-24,Saturday,10,2020,False,79937.0
2020-10-24 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,22423.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-24,Saturday,10,2020,False,79937.0
2020-10-24 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,21671.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-24,Saturday,10,2020,False,79937.0
2020-10-25 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,330.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-25,Sunday,10,2020,False,70555.0
2020-10-25 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,865.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-25,Sunday,10,2020,False,70555.0
2020-10-25 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,14393.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-25,Sunday,10,2020,False,70555.0
2020-10-25 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,12618.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-25,Sunday,10,2020,False,70555.0
2020-10-25 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,687.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-25,Sunday,10,2020,False,70555.0
2020-10-25 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,19889.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-25,Sunday,10,2020,False,70555.0
2020-10-25 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,20919.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-25,Sunday,10,2020,False,70555.0
2020-10-25 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,852.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-25,Sunday,10,2020,False,70555.0
2020-10-26 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,11934.5,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-26,Monday,10,2020,True,60730.0
2020-10-26 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,17000.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-26,Monday,10,2020,True,60730.0
2020-10-26 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,10965.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-26,Monday,10,2020,True,60730.0
2020-10-26 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,17971.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-26,Monday,10,2020,True,60730.0
2020-10-26 00:00:00+00:00,2070,02 - Auckland,01N10431,SH1 Gillies Ave Off Ramp to St Marks Rd On Ramp SB (S2),1,322.0,01N10431,1N,Regional Continuous,POINT (174.7808425695028 -36.87595747707204),2020-10-26,Monday,10,2020,True,60730.0
